movieId,title
485,Last Action Hero (1993)
494,Executive Decision (1996)
497,Much Ado About Nothing (1993)
500,Mrs. Doubtfire (1993)
508,Philadelphia (1993)
509,"Piano, The (1993)"
515,"Remains of the Day, The (1993)"
520,Robin Hood: Men in Tights (1993)
524,Rudy (1993)
527,Schindler's List (1993)
529,Searching for Bobby Fischer (1993)
531,"Secret Garden, The (1993)"
532,Serial Mom (1994)
535,Short Cuts (1993)
539,Sleepless in Seattle (1993)
541,Blade Runner (1982)
543,So I Married an Axe Murderer (1993)
546,Super Mario Bros. (1993)
551,"Nightmare Before Christmas, The (1993)"
552,"Three Musketeers, The (1993)"
553,Tombstone (1993)
555,True Romance (1993)
562,Welcome to the Dollhouse (1995)
585,"Brady Bunch Movie, The (1995)"
586,Home Alone (1990)
587,Ghost (1990)
588,Aladdin (1992)
589,Terminator 2: Judgment Day (1991)
590,Dances with Wolves (1990)
592,Batman (1989)
593,"Silence of the Lambs, The (1991)"
594,Snow White and the Seven Dwarfs (1937)
595,Beauty and the Beast (1991)
596,Pinocchio (1940)
597,Pretty Woman (1990)
608,Fargo (1996)
610,Heavy Metal (1981)
616,"Aristocats, The (1970)"
628,Primal Fear (1996)
637,Sgt. Bilko (1996)
647,Courage Under Fire (1996)
648,Mission: Impossible (1996)
653,Dragonheart (1996)
661,James and the Giant Peach (1996)
671,Mystery Science Theater 3000: The Movie (1996)
673,Space Jam (1996)
708,"Truth About Cats & Dogs, The (1996)"
719,Multiplicity (1996)
720,Wallace & Gromit: The Best of Aardman Animation (1996)
724,"Craft, The (1996)"
733,"Rock, The (1996)"
736,Twister (1996)
741,Ghost in the Shell (Kôkaku kidôtai) (1995)
743,Spy Hard (1996)
745,Wallace & Gromit: A Close Shave (1995)
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
762,Striptease (1996)
778,Trainspotting (1996)
780,Independence Day (a.k.a. ID4) (1996)
783,"Hunchback of Notre Dame, The (1996)"
784,"Cable Guy, The (1996)"
785,Kingpin (1996)
786,Eraser (1996)
788,"Nutty Professor, The (1996)"
799,"Frighteners, The (1996)"
800,Lone Star (1996)
802,Phenomenon (1996)
805,"Time to Kill, A (1996)"
830,"First Wives Club, The (1996)"
832,Ransom (1996)
837,Matilda (1996)
838,Emma (1996)
849,Escape from L.A. (1996)
852,Tin Cup (1996)
858,"Godfather, The (1972)"
866,Bound (1996)
880,"Island of Dr. Moreau, The (1996)"
898,"Philadelphia Story, The (1940)"
899,Singin' in the Rain (1952)
902,Breakfast at Tiffany's (1961)
903,Vertigo (1958)
904,Rear Window (1954)
908,North by Northwest (1959)
909,"Apartment, The (1960)"
910,Some Like It Hot (1959)
912,Casablanca (1942)
913,"Maltese Falcon, The (1941)"
914,My Fair Lady (1964)
915,Sabrina (1954)
916,Roman Holiday (1953)
919,"Wizard of Oz, The (1939)"
920,Gone with the Wind (1939)
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
923,Citizen Kane (1941)
924,2001: A Space Odyssey (1968)
926,All About Eve (1950)
930,Notorious (1946)
953,It's a Wonderful Life (1946)
954,Mr. Smith Goes to Washington (1939)
968,Night of the Living Dead (1968)
969,"African Queen, The (1951)"
1019,"20,000 Leagues Under the Sea (1954)"
1020,Cool Runnings (1993)
1022,Cinderella (1950)
1025,"Sword in the Stone, The (1963)"
1027,Robin Hood: Prince of Thieves (1991)
1028,Mary Poppins (1964)
1029,Dumbo (1941)
1032,Alice in Wonderland (1951)
1035,"Sound of Music, The (1965)"
1036,Die Hard (1988)
1037,"Lawnmower Man, The (1992)"
1041,Secrets & Lies (1996)
1042,That Thing You Do! (1996)
1047,"Long Kiss Goodnight, The (1996)"
1059,William Shakespeare's Romeo + Juliet (1996)
1060,Swingers (1996)
1061,Sleepers (1996)
1073,Willy Wonka & the Chocolate Factory (1971)
1077,Sleeper (1973)
1079,"Fish Called Wanda, A (1988)"
1080,Monty Python's Life of Brian (1979)
1084,Bonnie and Clyde (1967)
1086,Dial M for Murder (1954)
1088,Dirty Dancing (1987)
1089,Reservoir Dogs (1992)
1090,Platoon (1986)
1092,Basic Instinct (1992)
1093,"Doors, The (1991)"
1094,"Crying Game, The (1992)"
1095,Glengarry Glen Ross (1992)
1097,E.T. the Extra-Terrestrial (1982)
1100,Days of Thunder (1990)
1101,Top Gun (1986)
1103,Rebel Without a Cause (1955)
1104,"Streetcar Named Desire, A (1951)"
1120,"People vs. Larry Flynt, The (1996)"
1127,"Abyss, The (1989)"
1129,Escape from New York (1981)
1136,Monty Python and the Holy Grail (1975)
1148,Wallace & Gromit: The Wrong Trousers (1993)
1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989)
1175,Delicatessen (1991)
1179,"Grifters, The (1990)"
1183,"English Patient, The (1996)"
1185,My Left Foot (1989)
1186,"Sex, Lies, and Videotape (1989)"
1188,Strictly Ballroom (1992)
1193,One Flew Over the Cuckoo's Nest (1975)
1196,Star Wars: Episode V - The Empire Strikes Back (1980)
1197,"Princess Bride, The (1987)"
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
1199,Brazil (1985)
1200,Aliens (1986)
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
1203,12 Angry Men (1957)
1204,Lawrence of Arabia (1962)
1206,"Clockwork Orange, A (1971)"
1207,To Kill a Mockingbird (1962)
1208,Apocalypse Now (1979)
1209,Once Upon a Time in the West (C'era una volta il West) (1968)
1210,Star Wars: Episode VI - Return of the Jedi (1983)
1212,"Third Man, The (1949)"
1213,Goodfellas (1990)
1214,Alien (1979)
1215,Army of Darkness (1993)
1217,Ran (1985)
1219,Psycho (1960)
1220,"Blues Brothers, The (1980)"
1221,"Godfather: Part II, The (1974)"
1222,Full Metal Jacket (1987)
1223,"Grand Day Out with Wallace and Gromit, A (1989)"
1225,Amadeus (1984)
1228,Raging Bull (1980)
1230,Annie Hall (1977)
1231,"Right Stuff, The (1983)"
1233,"Boot, Das (Boat, The) (1981)"
1234,"Sting, The (1973)"
1235,Harold and Maude (1971)
1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)"
1240,"Terminator, The (1984)"
1242,Glory (1989)
1244,Manhattan (1979)
1245,Miller's Crossing (1990)
1246,Dead Poets Society (1989)
1247,"Graduate, The (1967)"
1249,"Femme Nikita, La (Nikita) (1990)"
1250,"Bridge on the River Kwai, The (1957)"
1252,Chinatown (1974)
1253,"Day the Earth Stood Still, The (1951)"
1254,"Treasure of the Sierra Madre, The (1948)"
1256,Duck Soup (1933)
1257,Better Off Dead... (1985)
1258,"Shining, The (1980)"
1259,Stand by Me (1986)
1261,Evil Dead II (Dead by Dawn) (1987)
1262,"Great Escape, The (1963)"
1263,"Deer Hunter, The (1978)"
1265,Groundhog Day (1993)
1266,Unforgiven (1992)
1267,"Manchurian Candidate, The (1962)"
1269,Arsenic and Old Lace (1944)
1270,Back to the Future (1985)
1271,Fried Green Tomatoes (1991)
1272,Patton (1970)
1274,Akira (1988)
1275,Highlander (1986)
1276,Cool Hand Luke (1967)
1278,Young Frankenstein (1974)
1282,Fantasia (1940)
1283,High Noon (1952)
1284,"Big Sleep, The (1946)"
1285,Heathers (1989)
1287,Ben-Hur (1959)
1288,This Is Spinal Tap (1984)
1291,Indiana Jones and the Last Crusade (1989)
1292,Being There (1979)
1293,Gandhi (1982)
1296,"Room with a View, A (1986)"
1298,Pink Floyd: The Wall (1982)
1299,"Killing Fields, The (1984)"
1302,Field of Dreams (1989)
1304,Butch Cassidy and the Sundance Kid (1969)
1307,When Harry Met Sally... (1989)
1320,Alien³ (a.k.a. Alien 3) (1992)
1321,"American Werewolf in London, An (1981)"
1333,"Birds, The (1963)"
1339,Dracula (Bram Stoker's Dracula) (1992)
1343,Cape Fear (1991)
1345,Carrie (1976)
1347,"Nightmare on Elm Street, A (1984)"
1350,"Omen, The (1976)"
1356,Star Trek: First Contact (1996)
1357,Shine (1996)
1358,Sling Blade (1996)
1367,101 Dalmatians (1996)
1370,Die Hard 2 (1990)
1371,Star Trek: The Motion Picture (1979)
1372,Star Trek VI: The Undiscovered Country (1991)
1373,Star Trek V: The Final Frontier (1989)
1374,Star Trek II: The Wrath of Khan (1982)
1375,Star Trek III: The Search for Spock (1984)
1376,Star Trek IV: The Voyage Home (1986)
1377,Batman Returns (1992)
1378,Young Guns (1988)
1380,Grease (1978)
1385,Under Siege (1992)
1387,Jaws (1975)
1391,Mars Attacks! (1996)
1393,Jerry Maguire (1996)
1394,Raising Arizona (1987)
1396,Sneakers (1992)
1405,Beavis and Butt-Head Do America (1996)
1407,Scream (1996)
1408,"Last of the Mohicans, The (1992)"
1409,Michael (1996)
1411,Hamlet (1996)
1438,Dante's Peak (1997)
1441,Benny & Joon (1993)
1449,Waiting for Guffman (1996)
1466,Donnie Brasco (1997)
1476,Private Parts (1997)
1479,"Saint, The (1997)"
1485,Liar Liar (1997)
1499,Anaconda (1997)
1500,Grosse Pointe Blank (1997)
1513,Romy and Michele's High School Reunion (1997)
1517,Austin Powers: International Man of Mystery (1997)
1527,"Fifth Element, The (1997)"
1544,"Lost World: Jurassic Park, The (1997)"
1552,Con Air (1997)
1556,Speed 2: Cruise Control (1997)
1562,Batman & Robin (1997)
1566,Hercules (1997)
1569,My Best Friend's Wedding (1997)
1573,Face/Off (1997)
1580,Men in Black (a.k.a. MIB) (1997)
1584,Contact (1997)
1586,G.I. Jane (1997)
1587,Conan the Barbarian (1982)
1590,Event Horizon (1997)
1591,Spawn (1997)
1597,Conspiracy Theory (1997)
1608,Air Force One (1997)
1610,"Hunt for Red October, The (1990)"
1617,L.A. Confidential (1997)
1625,"Game, The (1997)"
1635,"Ice Storm, The (1997)"
1639,Chasing Amy (1997)
1641,"Full Monty, The (1997)"
1644,I Know What You Did Last Summer (1997)
1645,The Devil's Advocate (1997)
1653,Gattaca (1997)
1663,Stripes (1981)
1673,Boogie Nights (1997)
1674,Witness (1985)
1676,Starship Troopers (1997)
1680,Sliding Doors (1998)
1682,"Truman Show, The (1998)"
1690,Alien: Resurrection (1997)
1704,Good Will Hunting (1997)
1717,Scream 2 (1997)
1721,Titanic (1997)
1722,Tomorrow Never Dies (1997)
1729,Jackie Brown (1997)
1732,"Big Lebowski, The (1998)"
1747,Wag the Dog (1997)
1748,Dark City (1998)
1777,"Wedding Singer, The (1998)"
1779,Sphere (1998)
1784,As Good as It Gets (1997)
1801,"Man in the Iron Mask, The (1998)"
1805,Wild Things (1998)
1831,Lost in Space (1998)
1835,City of Angels (1998)
1876,Deep Impact (1998)
1882,Godzilla (1998)
1884,Fear and Loathing in Las Vegas (1998)
1907,Mulan (1998)
1909,"X-Files: Fight the Future, The (1998)"
1911,Dr. Dolittle (1998)
1912,Out of Sight (1998)
1917,Armageddon (1998)
1918,Lethal Weapon 4 (1998)
1921,Pi (1998)
1923,There's Something About Mary (1998)
1945,On the Waterfront (1954)
1947,West Side Story (1961)
1952,Midnight Cowboy (1969)
1953,"French Connection, The (1971)"
1954,Rocky (1976)
1955,Kramer vs. Kramer (1979)
1957,Chariots of Fire (1981)
1960,"Last Emperor, The (1987)"
1961,Rain Man (1988)
1962,Driving Miss Daisy (1989)
1965,Repo Man (1984)
1967,Labyrinth (1986)
1968,"Breakfast Club, The (1985)"
1982,Halloween (1978)
1994,Poltergeist (1982)
1997,"Exorcist, The (1973)"
2000,Lethal Weapon (1987)
2001,Lethal Weapon 2 (1989)
2002,Lethal Weapon 3 (1992)
2003,Gremlins (1984)
2005,"Goonies, The (1985)"
2006,"Mask of Zorro, The (1998)"
2010,Metropolis (1927)
2011,Back to the Future Part II (1989)
2012,Back to the Future Part III (1990)
2018,Bambi (1942)
2019,Seven Samurai (Shichinin no samurai) (1954)
2020,Dangerous Liaisons (1988)
2021,Dune (1984)
2023,"Godfather: Part III, The (1990)"
2028,Saving Private Ryan (1998)
2054,"Honey, I Shrunk the Kids (1989)"
2058,"Negotiator, The (1998)"
2064,Roger & Me (1989)
2067,Doctor Zhivago (1965)
2076,Blue Velvet (1986)
2078,"Jungle Book, The (1967)"
2080,Lady and the Tramp (1955)
2081,"Little Mermaid, The (1989)"
2085,101 Dalmatians (One Hundred and One Dalmatians) (1961)
2087,Peter Pan (1953)
2094,"Rocketeer, The (1991)"
2096,Sleeping Beauty (1959)
2100,Splash (1984)
2105,Tron (1982)
2108,L.A. Story (1991)
2109,"Jerk, The (1979)"
2115,Indiana Jones and the Temple of Doom (1984)
2124,"Addams Family, The (1991)"
2125,Ever After: A Cinderella Story (1998)
2134,Weird Science (1985)
2137,Charlotte's Web (1973)
2140,"Dark Crystal, The (1982)"
2144,Sixteen Candles (1984)
2145,Pretty in Pink (1986)
2150,"Gods Must Be Crazy, The (1980)"
2160,Rosemary's Baby (1968)
2161,"NeverEnding Story, The (1984)"
2167,Blade (1998)
2174,Beetlejuice (1988)
2186,Strangers on a Train (1951)
2193,Willow (1988)
2194,"Untouchables, The (1987)"
2231,Rounders (1998)
2232,Cube (1997)
2243,Broadcast News (1987)
2248,Say Anything... (1989)
2268,"Few Good Men, A (1992)"
2273,Rush Hour (1998)
2278,Ronin (1998)
2288,"Thing, The (1982)"
2289,"Player, The (1992)"
2291,Edward Scissorhands (1990)
2294,Antz (1998)
2300,"Producers, The (1968)"
2302,My Cousin Vinny (1992)
2313,"Elephant Man, The (1980)"
2321,Pleasantville (1998)
2324,Life Is Beautiful (La Vita è bella) (1997)
2329,American History X (1998)
2335,"Waterboy, The (1998)"
2336,Elizabeth (1998)
2340,Meet Joe Black (1998)
2352,"Big Chill, The (1983)"
2353,Enemy of the State (1998)
2355,"Bug's Life, A (1998)"
2359,Waking Ned Devine (a.k.a. Waking Ned) (1998)
2366,King Kong (1933)
2371,Fletch (1985)
2378,Police Academy (1984)
2384,Babe: Pig in the City (1998)
2391,"Simple Plan, A (1998)"
2393,Star Trek: Insurrection (1998)
2394,"Prince of Egypt, The (1998)"
2395,Rushmore (1998)
2396,Shakespeare in Love (1998)
2402,Rambo: First Blood Part II (1985)
2403,First Blood (Rambo: First Blood) (1982)
2405,"Jewel of the Nile, The (1985)"
2406,Romancing the Stone (1984)
2407,Cocoon (1985)
2409,Rocky II (1979)
2410,Rocky III (1982)
2411,Rocky IV (1985)
2420,"Karate Kid, The (1984)"
2421,"Karate Kid, Part II, The (1986)"
2423,Christmas Vacation (National Lampoon's Christmas Vacation) (1989)
2424,You've Got Mail (1998)
2427,"Thin Red Line, The (1998)"
2428,"Faculty, The (1998)"
2431,Patch Adams (1998)
2455,"Fly, The (1986)"
2467,"Name of the Rose, The (Name der Rose, Der) (1986)"
2470,Crocodile Dundee (1986)
2471,Crocodile Dundee II (1988)
2478,¡Three Amigos! (1986)
2485,She's All That (1999)
2490,Payback (1999)
2501,October Sky (1999)
2502,Office Space (1999)
2528,Logan's Run (1976)
2529,Planet of the Apes (1968)
2539,Analyze This (1999)
2541,Cruel Intentions (1999)
2542,"Lock, Stock & Two Smoking Barrels (1998)"
2571,"Matrix, The (1999)"
2572,10 Things I Hate About You (1999)
2580,Go (1999)
2581,Never Been Kissed (1999)
2599,Election (1999)
2600,eXistenZ (1999)
2605,Entrapment (1999)
2616,Dick Tracy (1990)
2617,"Mummy, The (1999)"
2628,Star Wars: Episode I - The Phantom Menace (1999)
2640,Superman (1978)
2641,Superman II (1980)
2657,"Rocky Horror Picture Show, The (1975)"
2671,Notting Hill (1999)
2683,Austin Powers: The Spy Who Shagged Me (1999)
2686,"Red Violin, The (Violon rouge, Le) (1998)"
2687,Tarzan (1999)
2688,"General's Daughter, The (1999)"
2692,Run Lola Run (Lola rennt) (1998)
2694,Big Daddy (1999)
2699,Arachnophobia (1990)
2700,"South Park: Bigger, Longer and Uncut (1999)"
2701,Wild Wild West (1999)
2706,American Pie (1999)
2707,Arlington Road (1999)
2710,"Blair Witch Project, The (1999)"
2712,Eyes Wide Shut (1999)
2716,Ghostbusters (a.k.a. Ghost Busters) (1984)
2717,Ghostbusters II (1989)
2722,Deep Blue Sea (1999)
2723,Mystery Men (1999)
2724,Runaway Bride (1999)
2728,Spartacus (1960)
2739,"Color Purple, The (1985)"
2746,Little Shop of Horrors (1986)
2761,"Iron Giant, The (1999)"
2762,"Sixth Sense, The (1999)"
2763,"Thomas Crown Affair, The (1999)"
2770,Bowfinger (1999)
2788,Monty Python's And Now for Something Completely Different (1971)
2791,Airplane! (1980)
2795,National Lampoon's Vacation (1983)
2797,Big (1988)
2804,"Christmas Story, A (1983)"
2826,"13th Warrior, The (1999)"
2858,American Beauty (1999)
2871,Deliverance (1972)
2872,Excalibur (1981)
2881,Double Jeopardy (1999)
2890,Three Kings (1999)
2908,Boys Don't Cry (1999)
2915,Risky Business (1983)
2916,Total Recall (1990)
2918,Ferris Bueller's Day Off (1986)
2944,"Dirty Dozen, The (1967)"
2947,Goldfinger (1964)
2948,From Russia with Love (1963)
2949,Dr. No (1962)
2951,"Fistful of Dollars, A (Per un pugno di dollari) (1964)"
2953,Home Alone 2: Lost in New York (1992)
2959,Fight Club (1999)
2968,Time Bandits (1981)
2985,RoboCop (1987)
2987,Who Framed Roger Rabbit? (1988)
2997,Being John Malkovich (1999)
3000,Princess Mononoke (Mononoke-hime) (1997)
3005,"Bone Collector, The (1999)"
3006,"Insider, The (1999)"
3020,Falling Down (1993)
3033,Spaceballs (1987)
3034,Robin Hood (1973)
3039,Trading Places (1983)
3052,Dogma (1999)
3072,Moonstruck (1987)
3081,Sleepy Hollow (1999)
3082,"World Is Not Enough, The (1999)"
3087,Scrooged (1988)
3100,"River Runs Through It, A (1992)"
3101,Fatal Attraction (1987)
3104,Midnight Run (1988)
3105,Awakenings (1990)
3107,Backdraft (1991)
3108,"Fisher King, The (1991)"
3113,End of Days (1999)
3114,Toy Story 2 (1999)
3147,"Green Mile, The (1999)"
3148,"Cider House Rules, The (1999)"
3157,Stuart Little (1999)
3160,Magnolia (1999)
3168,Easy Rider (1969)
3174,Man on the Moon (1999)
3175,Galaxy Quest (1999)
3176,"Talented Mr. Ripley, The (1999)"
3186,"Girl, Interrupted (1999)"
3210,Fast Times at Ridgemont High (1982)
3247,Sister Act (1992)
3252,Scent of a Woman (1992)
3253,Wayne's World (1992)
3254,Wayne's World 2 (1993)
3255,"League of Their Own, A (1992)"
3256,Patriot Games (1992)
3257,"Bodyguard, The (1992)"
3263,White Men Can't Jump (1992)
3273,Scream 3 (2000)
3275,"Boondock Saints, The (2000)"
3285,"Beach, The (2000)"
3300,Pitch Black (2000)
3301,"Whole Nine Yards, The (2000)"
3317,Wonder Boys (2000)
3354,Mission to Mars (2000)
3361,Bull Durham (1988)
3362,Dog Day Afternoon (1975)
3363,American Graffiti (1973)
3386,JFK (1991)
3396,"Muppet Movie, The (1979)"
3408,Erin Brockovich (2000)
3409,Final Destination (2000)
3418,Thelma & Louise (1991)
3421,Animal House (1978)
3424,Do the Right Thing (1989)
3435,Double Indemnity (1944)
3448,"Good Morning, Vietnam (1987)"
3450,Grumpy Old Men (1993)
3471,Close Encounters of the Third Kind (1977)
3476,Jacob's Ladder (1990)
3481,High Fidelity (2000)
3489,Hook (1991)
3499,Misery (1990)
3504,Network (1976)
3510,Frequency (2000)
3527,Predator (1987)
3535,American Psycho (2000)
3552,Caddyshack (1980)
3555,U-571 (2000)
3556,"Virgin Suicides, The (1999)"
3578,Gladiator (2000)
3608,Pee-wee's Big Adventure (1985)
3617,Road Trip (2000)
3623,Mission: Impossible II (2000)
3624,Shanghai Noon (2000)
3671,Blazing Saddles (1974)
3681,For a Few Dollars More (Per qualche dollaro in più) (1965)
3683,Blood Simple (1984)
3697,Predator 2 (1990)
3698,"Running Man, The (1987)"
3702,Mad Max (1979)
3703,"Road Warrior, The (Mad Max 2) (1981)"
3704,Mad Max Beyond Thunderdome (1985)
3717,Gone in 60 Seconds (2000)
3740,Big Trouble in Little China (1986)
3745,Titan A.E. (2000)
3751,Chicken Run (2000)
3752,"Me, Myself & Irene (2000)"
3753,"Patriot, The (2000)"
3755,"Perfect Storm, The (2000)"
3785,Scary Movie (2000)
3793,X-Men (2000)
3798,What Lies Beneath (2000)
3809,What About Bob? (1991)
3825,Coyote Ugly (2000)
3826,Hollow Man (2000)
3827,Space Cowboys (2000)
3863,"Cell, The (2000)"
3868,"Naked Gun: From the Files of Police Squad!, The (1988)"
3882,Bring It On (2000)
3897,Almost Famous (2000)
3911,Best in Show (2000)
3916,Remember the Titans (2000)
3948,Meet the Parents (2000)
3949,Requiem for a Dream (2000)
3967,Billy Elliot (2000)
3969,Pay It Forward (2000)
3977,Charlie's Angels (2000)
3986,"6th Day, The (2000)"
3988,How the Grinch Stole Christmas (a.k.a. The Grinch) (2000)
3994,Unbreakable (2000)
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"
4002,"Planes, Trains & Automobiles (1987)"
4007,Wall Street (1987)
4011,Snatch (2000)
4014,Chocolat (2000)
4015,"Dude, Where's My Car? (2000)"
4016,"Emperor's New Groove, The (2000)"
4018,What Women Want (2000)
4019,Finding Forrester (2000)
4022,Cast Away (2000)
4023,"Family Man, The (2000)"
4025,Miss Congeniality (2000)
4027,"O Brother, Where Art Thou? (2000)"
4034,Traffic (2000)
4069,"Wedding Planner, The (2001)"
4085,Beverly Hills Cop (1984)
4105,"Evil Dead, The (1981)"
4128,"Lost Boys, The (1987)"
4148,Hannibal (2001)
4223,Enemy at the Gates (2001)
4226,Memento (2000)
4232,Spy Kids (2001)
4235,Amores Perros (Love's a Bitch) (2000)
4239,Blow (2001)
4246,Bridget Jones's Diary (2001)
4262,Scarface (1983)
4270,"Mummy Returns, The (2001)"
4299,"Knight's Tale, A (2001)"
4306,Shrek (2001)
4308,Moulin Rouge (2001)
4310,Pearl Harbor (2001)
4321,City Slickers (1991)
4343,Evolution (2001)
4344,Swordfish (2001)
4361,Tootsie (1982)
4367,Lara Croft: Tomb Raider (2001)
4369,"Fast and the Furious, The (2001)"
4370,A.I. Artificial Intelligence (2001)
4446,Final Fantasy: The Spirits Within (2001)
4447,Legally Blonde (2001)
4489,Coming to America (1988)
4571,Bill & Ted's Excellent Adventure (1989)
4638,Jurassic Park III (2001)
4641,Ghost World (2001)
4643,Planet of the Apes (2001)
4701,Rush Hour 2 (2001)
4718,American Pie 2 (2001)
4720,"Others, The (2001)"
4734,Jay and Silent Bob Strike Back (2001)
4776,Training Day (2001)
4816,Zoolander (2001)
4848,Mulholland Drive (2001)
4855,Dirty Harry (1971)
4865,From Hell (2001)
4874,K-PAX (2001)
4878,Donnie Darko (2001)
4886,"Monsters, Inc. (2001)"
4890,Shallow Hal (2001)
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)
4901,Spy Game (2001)
4963,Ocean's Eleven (2001)
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
4975,Vanilla Sky (2001)
